strike,expiration,bid,ask,expiration_type,option_type,mid
1935,2/21/2020,41.2,43.4,standard,CALL,42.3
1940,2/21/2020,37.4,39.5,standard,CALL,38.45
1945,2/21/2020,33.7,35.7,standard,CALL,34.7
1950,2/21/2020,30.1,32.1,standard,CALL,31.1
1955,2/21/2020,26.7,28.5,standard,CALL,27.6
1960,2/21/2020,23.4,25.1,standard,CALL,24.25
1965,2/21/2020,20.3,21.8,standard,CALL,21.05
1970,2/21/2020,17.4,18.8,standard,CALL,18.1
1975,2/21/2020,14.6,15.9,standard,CALL,15.25
1980,2/21/2020,12.2,13.3,standard,CALL,12.75
1985,2/21/2020,9.9,11,standard,CALL,10.45
1990,2/21/2020,7.9,9,standard,CALL,8.45
1995,2/21/2020,6.2,7.1,standard,CALL,6.65
2000,2/21/2020,4.7,5.2,standard,CALL,4.95
2005,2/21/2020,3.4,4.2,standard,CALL,3.8
2010,2/21/2020,2.65,3.1,standard,CALL,2.875
2015,2/21/2020,1.75,2.3,standard,CALL,2.025
2020,2/21/2020,1.2,1.7,standard,CALL,1.45
2025,2/21/2020,1,1.25,standard,CALL,1.125
2030,2/21/2020,0.45,1,standard,CALL,0.725
2035,2/21/2020,0.25,0.8,standard,CALL,0.525
2040,2/21/2020,0.35,0.65,standard,CALL,0.5
2045,2/21/2020,0.2,0.6,standard,CALL,0.4
2050,2/21/2020,0.2,0.3,standard,CALL,0.25
2055,2/21/2020,0.15,0.5,standard,CALL,0.325
2060,2/21/2020,0.15,0.3,standard,CALL,0.225
2065,2/21/2020,0.15,0.2,standard,CALL,0.175
2070,2/21/2020,0.1,0.2,standard,CALL,0.15
2075,2/21/2020,0.1,0.2,standard,CALL,0.15
2080,2/21/2020,0.05,0.45,standard,CALL,0.25
2085,2/21/2020,0.05,0.4,standard,CALL,0.225
2090,2/21/2020,0.05,0.15,standard,CALL,0.1
2095,2/21/2020,0.05,0.35,standard,CALL,0.2
2100,2/21/2020,0.05,0.15,standard,CALL,0.1
