expiration,strike,option_type,mid_price,delta_k,strike_cont,settlement
1/24/2020,1770,Put,2.725,5,0.000004349100000,weekly
1/24/2020,1775,Put,2.825,5,0.000004483400000,weekly
1/24/2020,1780,Put,3,5,0.000004734400000,weekly
1/24/2020,1785,Put,3.1,5,0.000004864800000,weekly
1/24/2020,1790,Put,3.25,5,0.000005071800000,weekly
1/24/2020,1795,Put,3.45,5,0.000005353900000,weekly
1/24/2020,1800,Put,3.6,5,0.000005555700000,weekly
1/24/2020,1805,Put,3.8,5,0.000005831900000,weekly
1/24/2020,1810,Put,3.95,5,0.000006028700000,weekly
1/24/2020,1815,Put,4.2,5,0.000006375000000,weekly
1/24/2020,1820,Put,4.4,5,0.000006641900000,weekly
1/24/2020,1825,Put,4.65,5,0.000006980800000,weekly
1/24/2020,1830,Put,4.9,5,0.000007316000000,weekly
1/24/2020,1835,Put,5.15,5,0.000007647400000,weekly
1/24/2020,1840,Put,5.45,5,0.000008049000000,weekly
1/24/2020,1845,Put,5.75,5,0.000008446100000,weekly
1/24/2020,1850,Put,6.05,5,0.000008838800000,weekly
1/24/2020,1855,Put,6.45,5,0.000009372400000,weekly
1/24/2020,1860,Put,6.75,5,0.000009755700000,weekly
1/24/2020,1865,Put,7.15,5,0.000010278500000,weekly
1/24/2020,1870,Put,7.65,5,0.000010938500000,weekly
1/24/2020,1875,Put,8.15,5,0.000011591400000,weekly
1/24/2020,1880,Put,8.6,5,0.000012166400000,weekly
1/24/2020,1885,Put,9.2,5,0.000012946300000,weekly
1/24/2020,1890,Put,9.75,5,0.000013647800000,weekly
1/24/2020,1895,Put,10.4,5,0.000014480900000,weekly
1/24/2020,1900,Put,11.1,5,0.000015374300000,weekly
1/24/2020,1905,Put,11.8,5,0.000016258200000,weekly
1/24/2020,1910,Put,12.6,5,0.000017269700000,weekly
1/24/2020,1915,Put,13.45,5,0.000018338600000,weekly
1/24/2020,1920,Put,14.4,5,0.000019531700000,weekly
1/24/2020,1925,Put,15.4,5,0.000020779700000,weekly
1/24/2020,1930,Put,16.4,5,0.000022014600000,weekly
1/24/2020,1935,Put,17.6,5,0.000023503500000,weekly
1/24/2020,1940,Put,18.8,5,0.000024976700000,weekly
1/24/2020,1945,Put,20.2,5,0.000026698900000,weekly
1/24/2020,1950,Put,21.6,5,0.000028403100000,weekly
1/24/2020,1955,Put,23.2,5,0.000030351200000,weekly
1/24/2020,1960,Put/Call,26.1,5,0.000033971100000,weekly
1/24/2020,1965,Call,24.15,5,0.000031273200000,weekly
1/24/2020,1970,Call,21.1,5,0.000027185100000,weekly
1/24/2020,1975,Call,18.3,5,0.000023458400000,weekly
1/24/2020,1980,Call,15.7,5,0.000020024000000,weekly
1/24/2020,1985,Call,13.3,5,0.000016877600000,weekly
1/24/2020,1990,Call,11.1,5,0.000014015200000,weekly
1/24/2020,1995,Call,9.15,5,0.000011495200000,weekly
1/24/2020,2000,Call,7.4,5,0.000009250200000,weekly
1/24/2020,2005,Call,5.85,5,0.000007276300000,weekly
